abbreviation_metabolite,casregistry_metabolite,cheblid_metabolite,description_metabolite,fullname_metabolite,hmdb_metabolite,inchikey_metabolite,inchistring_metabolite,keggid_metabolite,biocyc_metabolite,food_db_metabolite,reconmap3_metabolite,smile_metabolite,inchiKey_metabolite,inchiString_metabolite,chebi_accession,SOURCE,name,definition,InChI
377,C07297,b,b,"Human Metabolome Database (HMDB): (R) Pristanoyl-CoA is converted by alpha-methylacyl-CoA racemase (E.C. 5.1.99.4) (S) pristanoyl-CoA, which is then degraded via peroxisomal beta-oxidation. Deficiency in this enzyme results in neuropathy, hypogonadism of adult onset; and in infant, defective bile acid synthesis has been observed. Pristanoyl-CoA is the substrate of propionyl-CoA C(2)-trimethyltridecanoyltransferase (E.C.2.3.1.154). It is the substrate of peroxisomal pristanoyl-CoA oxidase (E.C.1.3.3.6). A genetic disorder called Zellweger syndrome (OMIM: 214100), also known as neonatal adrenoleukodystrophy, NALD) is the result of a lack of pristanoyl-CoA oxidase, and the subsequent accumulation of phytanic acid and pristanic acid.",Pristanoyl-CoA,HMDB0002057,b,b,C07297,3-OXOPRISTANOYL-COA,FDB022821,C07297,[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])(C(=O)C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O,NQFYRDGBRBDQQG-SVFBWJQPSA-J,"InChI=1S/C40H70N7O18P3S/c1-24(2)10-8-11-25(3)12-9-13-26(4)14-15-28(48)27(5)39(53)69-19-18-42-30(49)16-17-43-37(52)34(51)40(6,7)21-62-68(59,60)65-67(57,58)61-20-29-33(64-66(54,55)56)32(50)38(63-29)47-23-46-31-35(41)44-22-45-36(31)47/h22-27,29,32-34,38,50-51H,8-21H2,1-7H3,(H,42,49)(H,43,52)(H,57,58)(H,59,60)(H2,41,44,45)(H2,54,55,56)/p-4/t25?,26?,27?,29-,32-,33-,34+,38-/m1/s1",CHEBI:57291,Rhea,3-oxopristanoyl-CoA(4-),A multi-methyl-branched fatty acyl-CoA(4-) arising from deprotonation of the phosphate and diphosphate OH groups of 3-oxopristanoyl-CoA.,"InChI=1S/C40H70N7O18P3S/c1-24(2)10-8-11-25(3)12-9-13-26(4)14-15-28(48)27(5)39(53)69-19-18-42-30(49)16-17-43-37(52)34(51)40(6,7)21-62-68(59,60)65-67(57,58)61-20-29-33(64-66(54,55)56)32(50)38(63-29)47-23-46-31-35(41)44-22-45-36(31)47/h22-27,29,32-34,38,50-51H,8-21H2,1-7H3,(H,42,49)(H,43,52)(H,57,58)(H,59,60)(H2,41,44,45)(H2,54,55,56)/p-4/t25?,26?,27?,29-,32-,33-,34+,38-/m1/s1"
378,C07486,1088-11-5,111762.0,"Human Metabolome Database (HMDB): Nordiazepam is a metabolite of Diazepam. Diazepam, first marketed as Valium by Hoffmann-La Roche, is a benzodiazepine drug. Nordazepam, also known as desoxydemoxepam, nordiazepam and desmethyldiazepam, is a 1,4-benzodiazepine derivative. Like other benzodiazepine derivatives, it has anticonvulsant, anxiolytic, muscle relaxant and sedative properties. (Wikipedia)",Nordiazepam,HMDB0060538,b,b,C07486,b,b,b,[H]N1C2=C(C([H])=C(Cl)C([H])=C2[H])C(=NC([H])([H])C1=O)C1=C([H])C([H])=C([H])C([H])=C1[H],AKPLHCDWDRPJGD-UHFFFAOYSA-N,"InChI=1S/C15H11ClN2O/c16-11-6-7-13-12(8-11)15(17-9-14(19)18-13)10-4-2-1-3-5-10/h1-8H,9H2,(H,18,19)",CHEBI:111762,ChEMBL,nordazepam,"A 1,4-benzodiazepinone having phenyl and chloro substituents at positions 5 and 7 respectively; it has anticonvulsant, anxiolytic, muscle relaxant and sedative properties but is used primarily in the treatment of anxiety.","InChI=1S/C15H11ClN2O/c16-11-6-7-13-12(8-11)15(17-9-14(19)18-13)10-4-2-1-3-5-10/h1-8H,9H2,(H,18,19)"
379,C08261,123-99-9,48131.0,"Human Metabolome Database (HMDB): Azelaic acid (AZA) is a naturally occurring saturated nine-carbon dicarboxylic acid (COOH (CH2)7-COOH). It possesses a variety of biological actions both in vitro and in vivo. Interest in the biological activity of AZA arose originally out of studies of skin surface lipids and the pathogenesis of hypochromia in pityriasis versicolor infection. Later, it was shown that Pityrosporum can oxidize unsaturated fatty acids to C8-C12 dicarboxylic acids that are cornpetitive inhibitors of tyrosinase in vitro. Azelaic acid was chosen for further investigation and development of a new topical drug for treating hyperpigmentary disorders for the following reasons: it possesses a middle-range of antityrosinase activity, is inexpensive, and more soluble to be incorporated into a base cream than other dicarboxylic acids. Azelaic acid is another option for the topical treatment of mild to moderate inflammatory acne vulgaris. It offers effectiveness similar to that of other agents without the systemic side effects of oral antibiotics or the allergic sensitization of topical benzoyl peroxide and with less irritation than tretinoin. Azelaic acid is less expensive than certain other prescription acne preparations, but it is much more expensive than nonprescription benzoyl peroxide preparations. Whether it is safe and effective when used in combination with other agents is not known. (PMID: 7737781, 8961845).",Azelaic acid,HMDB0000784,b,b,C08261,b,FDB012192,C08261,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H],BDJRBEYXGGNYIS-UHFFFAOYSA-N,"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)",CHEBI:48131,ChEBI,nonanedioic acid,"An alpha,omega-dicarboxylic acid that is heptane substituted at positions 1 and 7 by carboxy groups.","InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)"
380,C08276,b,1438.0,Human Metabolome Database (HMDB): 3-methylthiopropionate is one of the metabolites of methionine (especially of D-methionine) and pharmacokinetics of 3-MTP in urine seems to contribute to the clinicopathological investigation of the liver cirrhosis. (PMID 3997054).,3-Methylthiopropionic acid,HMDB0001527,b,b,C08276,CPD-86,FDB022672,b,[H]C([H])([H])SC([H])([H])C([H])([H])C([O-])=O,CAOMCZAIALVUPA-UHFFFAOYSA-M,"InChI=1S/C4H8O2S/c1-7-3-2-4(5)6/h2-3H2,1H3,(H,5,6)/p-1",CHEBI:49016,ChEBI,3-(methylthio)propionate,A thia fatty acid anion that is the conjugate base of 3-(methylthio)propionic acid.,"InChI=1S/C4H8O2S/c1-7-3-2-4(5)6/h2-3H2,1H3,(H,5,6)/p-1"
381,C09209,486-84-0,5623.0,"Human Metabolome Database (HMDB): Harman is found in chicory. Harman is an alkaloid from the may pop (Passiflora incarnata, Passifloraceae) and many other Passiflora sp",Harman,HMDB0035196,b,b,C09209,CPD66-92,FDB013842,b,[H]N1C2=C(C([H])=C([H])C([H])=C2[H])C2=C1C(=NC([H])=C2[H])C([H])([H])[H],PSFDQSOCUJVVGF-UHFFFAOYSA-N,"InChI=1S/C12H10N2/c1-8-12-10(6-7-13-8)9-4-2-3-5-11(9)14-12/h2-7,14H,1H3",CHEBI:5623,KEGG COMPOUND,harman,"An indole alkaloid fundamental parent with a structure of 9H-beta-carboline carrying a methyl substituent at C-1. It has been isolated from the bark of Sickingia rubra, Symplocus racemosa, Passiflora incarnata, Peganum harmala, Banisteriopsis caapi and Tribulus terrestris, as well as from tobacco smoke. It is a specific, reversible inhibitor of monoamine oxidase A.","InChI=1S/C12H10N2/c1-8-12-10(6-7-13-8)9-4-2-3-5-11(9)14-12/h2-7,14H,1H3"
382,C10164,98-98-6,28747.0,"Human Metabolome Database (HMDB): Picolinic acid is a metabolite of the tryptophan catabolism. Picolinic acid is produced under inflammatory conditions and a costimulus with interferon-gamma (IFNgamma) of macrophage (Mphi) effector functions, is a selective inducer of the Mphi inflammatory protein-1alpha (MIP-1alpha) and -1beta (MIPs), two chemokines/cytokines involved in the elicitation of the inflammatory reactions and in the development of the Th1 responses. IFNgamma and picolinic acid have reciprocal effects on the production of MIPs chemokines and the expression of their receptor. The concerted action of IFNgamma and picolinic acid on MIP-1alpha/beta chemokine/receptor system is likely to be of pathophysiological significance and to represent an important regulatory mechanism for leukocyte recruitment and distribution into damaged tissues during inflammatory responses. Picolinic acid has an effect on the production of L-arginine-derived reactive nitrogen intermediates in macrophages, by augmenting IFN-gamma-induced NO2- production, and acts synergistically with IFN-gamma in activating macrophages. Children with acrodermatitis enteropathica (AE) are treated with oral zinc dipicolinate (zinc-PA). The concentration of picolinic acid in the plasma of asymptomatic children with AE was significantly less than that of normal children. However, oral treatment with PA alone is ineffective. The results support the hypothesis that the genetic defect in AE is in the tryptophan pathway, although the role of PA in zinc metabolism remains to be defined. (PMID: 15206716, 8473748, 1701787, 6694049).",Picolinic acid,HMDB0002243,b,b,C10164,CPD-5062,FDB022926,C10164,[H]C1=NC(=C([H])C([H])=C1[H])C([O-])=O,SIOXPEMLGUPBBT-UHFFFAOYSA-M,"InChI=1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)/p-1",CHEBI:38184,ChEBI,picolinate,A pyridinemonocarboxylate resulting from the removal of a proton from the carboxy group of picolinic acid.,"InChI=1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)/p-1"
383,c10crn,1492-27-9,68830.0,"Human Metabolome Database (HMDB): Decanoylcarnitine, is a member of the class of compounds known as acyl carnitines. Acyl carnitines are organic compounds containing a fatty acid with the carboxylic acid attached to carnitine through an ester bond. Thus, decanoylcarnitine is considered to be a fatty ester lipid molecule. Decanoylcarnitine is practically insoluble (in water) and a weakly acidic compound (based on its pKa). Decanoylcarnitine can be found primarily in blood, feces, and urine. Within the cell, decanoylcarnitine is primarily located in the membrane. It can also be found in the extracellular space. Acyl carnitines are useful in the diagnosis of genetic disorders such as fatty acid oxidation disorders and differentiation between biochemical phenotypes of medium-chain acyl-CoA dehydrogenase (MCAD) deficiency (PMID: 12385891). Moreover, decanoylcarnitine is found to be associated with very long chain acyl-CoA dehydrogenase (VLAD) deficiency, glutaric aciduria II, and celiac disease, which are inborn errors of metabolism.",Decanoylcarnitine,HMDB0000651,b,b,b,PALMITOYL-CARNITINE,FDB022162,c10crn,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],LZOSYCMHQXPBFU-UHFFFAOYSA-N,"InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3",CHEBI:68830,ChEBI,O-decanoylcarnitine,An O-acylcarnitine compound having decanoyl as the acyl substituent.,"InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3"
384,C11695,94421-68-8,2700.0,"Human Metabolome Database (HMDB): Anandamide is a highly potent endogenous agonist of the cannabinoid CB1 and CB2 receptors. CB1 receptors are predominantly found in the central nervous system (CNS) where they mainly mediate the psychotropic effects of Tetrahydrocannabinol (THC) and endocannabinoids, whereas the expression of the CB2 receptor is thought to be restricted to cells of the immune system. It was suggested that AEA might inhibit tumor cell proliferation or induce apoptosis independently of CB1 and CB2 receptors, via interaction with the type 1 vanilloid receptor (VR1). VR1 is an ion channel expressed almost exclusively by sensory neurons, activated by pH, noxious heat (>48 degree centigrade) and plant toxins and is thought to play an important role in nociception. Cervical cancer cells are sensitive to AEA-induced apoptosis via VR1 that is aberrantly expressed in vitro and in vivo while CB1 and CB2 receptors play a protective role. (PMID 15047233). Novel prostaglandins (prostaglandin glycerol esters and prostaglandin ethanolamides) are COX-2 oxidative metabolites of endogenous cannabinoids (such as Anandamide). Recent evidence suggests that these new types of prostaglandins are likely novel signaling mediators involved in synaptic transmission and plasticity. (PMID 16957004).",Anandamide,HMDB0004080,b,b,C11695,CPD-7598,FDB023303,C11695,[H]OC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],LGEQQWMQCRIYKG-DOFZRALJSA-N,"InChI=1S/C22H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-22(25)23-20-21-24/h6-7,9-10,12-13,15-16,24H,2-5,8,11,14,17-21H2,1H3,(H,23,25)/b7-6-,10-9-,13-12-,16-15-",CHEBI:2700,KEGG COMPOUND,anandamide,An N-acylethanolamine 20:4 resulting from the formal condensation of carboxy group of arachidonic acid with the amino group of ethanolamine.,"InChI=1S/C22H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-22(25)23-20-21-24/h6-7,9-10,12-13,15-16,24H,2-5,8,11,14,17-21H2,1H3,(H,23,25)/b7-6-,10-9-,13-12-,16-15-"
385,C11695,94421-68-8,2700.0,"Human Metabolome Database (HMDB): Anandamide is a highly potent endogenous agonist of the cannabinoid CB1 and CB2 receptors. CB1 receptors are predominantly found in the central nervous system (CNS) where they mainly mediate the psychotropic effects of Tetrahydrocannabinol (THC) and endocannabinoids, whereas the expression of the CB2 receptor is thought to be restricted to cells of the immune system. It was suggested that AEA might inhibit tumor cell proliferation or induce apoptosis independently of CB1 and CB2 receptors, via interaction with the type 1 vanilloid receptor (VR1). VR1 is an ion channel expressed almost exclusively by sensory neurons, activated by pH, noxious heat (>48 degree centigrade) and plant toxins and is thought to play an important role in nociception. Cervical cancer cells are sensitive to AEA-induced apoptosis via VR1 that is aberrantly expressed in vitro and in vivo while CB1 and CB2 receptors play a protective role. (PMID 15047233). Novel prostaglandins (prostaglandin glycerol esters and prostaglandin ethanolamides) are COX-2 oxidative metabolites of endogenous cannabinoids (such as Anandamide). Recent evidence suggests that these new types of prostaglandins are likely novel signaling mediators involved in synaptic transmission and plasticity. (PMID 16957004).",Anandamide,HMDB0004080,b,b,C11695,CPD-7598,FDB023303,C11695,[H]OC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],LGEQQWMQCRIYKG-DOFZRALJSA-N,"InChI=1S/C22H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-22(25)23-20-21-24/h6-7,9-10,12-13,15-16,24H,2-5,8,11,14,17-21H2,1H3,(H,23,25)/b7-6-,10-9-,13-12-,16-15-",CHEBI:2700,KEGG COMPOUND,anandamide,An N-acylethanolamine 20:4 resulting from the formal condensation of carboxy group of arachidonic acid with the amino group of ethanolamine.,"InChI=1S/C22H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-22(25)23-20-21-24/h6-7,9-10,12-13,15-16,24H,2-5,8,11,14,17-21H2,1H3,(H,23,25)/b7-6-,10-9-,13-12-,16-15-"
386,C11821,6960-30-1,18072.0,Human Metabolome Database (HMDB): 5-Hydroxyisourate a uric acid degradation intermediate is found in soy beans. 5-Hydroxyisourate is a molecule with a formula of C5H4N4O4 and molecular weight of 184.110 g/mol. It is the product of the oxidation of uric acid by urate oxidase.,5-Hydroxyisourate,HMDB0030097,b,b,C11821,b,FDB001616,C11821,[H]OC12N([H])C(=O)N([H])C1=NC(=O)N([H])C2=O,LTQYPAVLAYVKTK-UHFFFAOYSA-N,"InChI=1S/C5H4N4O4/c10-2-5(13)1(6-3(11)8-2)7-4(12)9-5/h13H,(H3,6,7,8,9,10,11,12)",CHEBI:18072,ChEBI,5-hydroxyisouric acid,"An oxopurine that is 5,7-dihydro-1H-purine-2,6,8(9H)-trione in which the hydrogen at position 5 is substituted by a hydroxy group.","InChI=1S/C5H4N4O4/c10-2-5(13)1(6-3(11)8-2)7-4(12)9-5/h13H,(H3,6,7,8,9,10,11,12)"
387,C14769,81246-85-7,34490.0,"Human Metabolome Database (HMDB): 8,9-Epoxyeicosatrienoic acid is an epoxyeicosatrienoic acid eicosanoid, a metabolite of arachidonic acid. The P450 epoxyeicosatrienoic acids (EETs) are endogenous lipid mediators produced by P450 epoxygenases and metabolized through multiple pathways including soluble epoxide hydrolase (sEH). The cytochrome P-450 (P450) monooxygenase pathway includes enzymes of the CYP1A, CYP2B, CYP2C, CYP2E, and CYP2J subfamilies that catalyze the formation of four regioisomeric products, 5,6-, 8,9-, 11,12-, and 14,15-epoxyeicosatrienoic acid. EETs are produced in brain and perform important biological functions, including protection from ischemic injury. Both light flashes and direct glial stimulation produce vasodilatation mediated by EETs. EETs may be involved in the development of hypertension and endothelial dysfunction in DOCA-salt rats, but not in excessive collagen deposition or electrophysiological abnormalities. EETs have vasodilator and natriuretic effect. Blockade of EET formation is associated with salt-sensitive hypertension. Four regioisomeric cis-EET are primary products of arachidonic acid metabolism by cytochrome P450 epoxygenases. Upon hydration by soluble epoxide hydrolase (sEH), EET are metabolized to dihydroxyeicosatrienoic acids (DHET). These hydration products are more stable and less biologically active than EETs. (PMID: 17494091, 17468203, 17434916, 17406062, 17361113, 15581597).","8,9-Epoxyeicosatrienoic acid",HMDB0002232,b,b,C14769,b,FDB022920,C14769,[H]\C(=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C1([H])OC1([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O,DBWQSCSXHFNTMO-TYAUOURKSA-M,"InChI=1S/C20H32O3/c1-2-3-4-5-6-7-8-9-12-15-18-19(23-18)16-13-10-11-14-17-20(21)22/h6-7,9-10,12-13,18-19H,2-5,8,11,14-17H2,1H3,(H,21,22)/p-1/b7-6-,12-9-,13-10-",CHEBI:84025,SUBMITTER,"8,9-EET(1-)","An icosanoid anion that is the conjugate base of 8,9-EET, obtained by deprotonation of the carboxy group; major species at pH 7.3.","InChI=1S/C20H32O3/c1-2-3-4-5-6-7-8-9-12-15-18-19(23-18)16-13-10-11-14-17-20(21)22/h6-7,9-10,12-13,18-19H,2-5,8,11,14-17H2,1H3,(H,21,22)/p-1/b7-6-,12-9-,13-10-"
388,C14826,b,38299.0,"Human Metabolome Database (HMDB): 12,13-EpOME is the 12,13-cis epoxide of linoleic acid, generated by neutrophils during the oxidative burst. The toxicity and biosynthesis of 12,13-EpOME has not been well differentiated from 9,10-EpOME, but has been presumed to be essentially the same.P.","12,13-EpOME",HMDB0004702,b,b,C14826,b,FDB023414,C14826,[H]\C(=C(/[H])C([H])([H])C1([H])OC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O,CCPPLLJZDQAOHD-FLIBITNWSA-M,"InChI=1S/C18H32O3/c1-2-3-10-13-16-17(21-16)14-11-8-6-4-5-7-9-12-15-18(19)20/h8,11,16-17H,2-7,9-10,12-15H2,1H3,(H,19,20)/p-1/b11-8-",CHEBI:84026,SUBMITTER,vernolate,"A monounsaturated fatty acid anion that is the conjugate base of vernolic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3.","InChI=1S/C18H32O3/c1-2-3-10-13-16-17(21-16)14-11-8-6-4-5-7-9-12-15-18(19)20/h8,11,16-17H,2-7,9-10,12-15H2,1H3,(H,19,20)/p-1/b11-8-"
389,c14dccoa,b,b,b,Tetradecanedioyl Coenzyme A,b,b,b,b,b,b,c14dccoa,[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O,TVXJIGZINAEEEG-XIOMLZLPSA-I,"InChI=1S/C35H60N7O19P3S/c1-35(2,30(48)33(49)38-16-15-24(43)37-17-18-65-26(46)14-12-10-8-6-4-3-5-7-9-11-13-25(44)45)20-58-64(55,56)61-63(53,54)57-19-23-29(60-62(50,51)52)28(47)34(59-23)42-22-41-27-31(36)39-21-40-32(27)42/h21-23,28-30,34,47-48H,3-20H2,1-2H3,(H,37,43)(H,38,49)(H,44,45)(H,53,54)(H,55,56)(H2,36,39,40)(H2,50,51,52)/p-5/t23-,28-,29-,30+,34-/m1/s1",CHEBI:77084,SUBMITTER,tetradecanedioyl-CoA(5-),"An acyl-CoA oxoanion that is the pentaanion of tetradecanedioyl-CoA, arising from deprotonation of the phosphate, diphosphate and carboxylic acid functions; major species at pH 7.3.","InChI=1S/C35H60N7O19P3S/c1-35(2,30(48)33(49)38-16-15-24(43)37-17-18-65-26(46)14-12-10-8-6-4-3-5-7-9-11-13-25(44)45)20-58-64(55,56)61-63(53,54)57-19-23-29(60-62(50,51)52)28(47)34(59-23)42-22-41-27-31(36)39-21-40-32(27)42/h21-23,28-30,34,47-48H,3-20H2,1-2H3,(H,37,43)(H,38,49)(H,44,45)(H,53,54)(H,55,56)(H2,36,39,40)(H2,50,51,52)/p-5/t23-,28-,29-,30+,34-/m1/s1"
390,c226coa,b,65132.0,b,Cervonyl Coenzyme A,b,b,b,C16169,b,b,c226coa,[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O,MENFZXMQSYYVRK-CRCGJGBYSA-J,"InChI=1S/C43H66N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-34(52)71-27-26-45-33(51)24-25-46-41(55)38(54)43(2,3)29-64-70(61,62)67-69(59,60)63-28-32-37(66-68(56,57)58)36(53)42(65-32)50-31-49-35-39(44)47-30-48-40(35)50/h5-6,8-9,11-12,14-15,17-18,20-21,30-32,36-38,42,53-54H,4,7,10,13,16,19,22-29H2,1-3H3,(H,45,51)(H,46,55)(H,59,60)(H,61,62)(H2,44,47,48)(H2,56,57,58)/p-4/b6-5-,9-8-,12-11-,15-14-,18-17-,21-20-/t32-,36-,37-,38+,42-/m1/s1",CHEBI:74298,SUBMITTER,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA(4-)","An acyl-CoA(4-) arising from deprotonation of the phosphate and diphosphate functions of (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA.","InChI=1S/C43H66N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-34(52)71-27-26-45-33(51)24-25-46-41(55)38(54)43(2,3)29-64-70(61,62)67-69(59,60)63-28-32-37(66-68(56,57)58)36(53)42(65-32)50-31-49-35-39(44)47-30-48-40(35)50/h5-6,8-9,11-12,14-15,17-18,20-21,30-32,36-38,42,53-54H,4,7,10,13,16,19,22-29H2,1-3H3,(H,45,51)(H,46,55)(H,59,60)(H,61,62)(H2,44,47,48)(H2,56,57,58)/p-4/b6-5-,9-8-,12-11-,15-14-,18-17-,21-20-/t32-,36-,37-,38+,42-/m1/s1"
