name_of_disease,abbreviation_of_disease,type_of_disease,notes_of_disease,phenotype,organ_affected,cheblid_of_biomarker,description_of_biomarker,fullname_of_biomarker,abbreviation_of_biomarker,inchikey_of_biomarker,inchistring_of_biomarker,keggid_of_biomarker,casregistry_of_biomarker,value_of_biomarker,normal_conc_of_biomarker,ramedis_of_biomarker,range_conc_of_biomarker,biocyc_biomarker,smile_biomarker,hmdb_biomarker,reconMap3_biomarker,food_db_biomarker,pubChemId_biomarker
Carnitine Palmitoyltransferase 1 Deficiency,CPT1,Inherited metabolic disorder,"Free carnitine/total carnitine is elevated, palmitoylcarnitine/free carnitine, C0/(C16+C18)","Hepatic encephalopathy, adult-onset myopathy, acute fatty liver of pregnancy. Kidney (Renal tubular acidosis), both proximal and distal.","Liver, nervous system, muscle, skeletal system",84651,"Human Metabolome Database (HMDB): Oleoylcarnitine is a long-chain acylcarnitine that accumulates during certain metabolic conditions, such as fasting (PMID: 15653102).",Oleoylcarnitine,odecrn,IPOLTUVFXFHAHI-QHCPKHFHSA-N,"InChI=1S/C25H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h12-13,23H,5-11,14-22H2,1-4H3/t23-/m0/s1",,38677-66-6,Decreased,0.057- 2.50,,0.04 - 0.88,CPD-20402,[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0005065,odecrn,FDB023614,46907933
Carnitine Acylcarnitine Translocase Deficiency,CACT,Inherited metabolic disorder,Elevated C-16 and C-18:1,"Neonatal onset and milder form with some residual CACT activity. Morris et al. (1998) reported steatosis of renal tubules in a Pakistani family. Huizing et al. (1998) found high level of CACT mRNA transcripts in in heart, skeletal muscle, and liver, and much lower levels in brain, placenta, kidney, pancreas, and especially in lung.","Liver, muscle, heart",84651,"Human Metabolome Database (HMDB): Oleoylcarnitine is a long-chain acylcarnitine that accumulates during certain metabolic conditions, such as fasting (PMID: 15653102).",Oleoylcarnitine,odecrn,IPOLTUVFXFHAHI-QHCPKHFHSA-N,"InChI=1S/C25H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h12-13,23H,5-11,14-22H2,1-4H3/t23-/m0/s1",,38677-66-6,Increased,0.057- 2.50,,2.30 - 10.80,CPD-20402,[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0005065,odecrn,FDB023614,46907933
Carnitine Palmitoyltransferase 2 Deficiency,CPT2,Inherited metabolic disorder,Elevated C-16 and C-18:1 along with urinary examination.,"Lethal neonatal form, Severe infantile hepatocardiomuscular form, myopathic form. In infantile form-reduced enzyme activity in fibroblasts, lymphoblasts, and skeletal muscle-OMIM:600649, in lethal neonatal form- Postmortem examination showed diffuse lipid accumulation in the liver, heart, kidney, adrenal cortex, skeletal muscle, and lungs-OMIM:608836","Liver, heart, muscle, nervous system, kidney",84651,"Human Metabolome Database (HMDB): Oleoylcarnitine is a long-chain acylcarnitine that accumulates during certain metabolic conditions, such as fasting (PMID: 15653102).",Oleoylcarnitine,odecrn,IPOLTUVFXFHAHI-QHCPKHFHSA-N,"InChI=1S/C25H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h12-13,23H,5-11,14-22H2,1-4H3/t23-/m0/s1",,38677-66-6,Increased,0.057- 2.50,351,2.30 - 10.80,CPD-20402,[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0005065,odecrn,FDB023614,46907933
Glutaric Acidemia Type I,GA1,Inherited metabolic disorder,"Increased C5DC in blood, in urine-increased C4OH, C5DC etc.","Strauss et al. (2003) reported nonketosis GA-I give rise to myopathy, cardiomyopathy, and Reye-like hepatocerebral crisis.",Nervous system,84651,"Human Metabolome Database (HMDB): Oleoylcarnitine is a long-chain acylcarnitine that accumulates during certain metabolic conditions, such as fasting (PMID: 15653102).",Oleoylcarnitine,odecrn,IPOLTUVFXFHAHI-QHCPKHFHSA-N,"InChI=1S/C25H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h12-13,23H,5-11,14-22H2,1-4H3/t23-/m0/s1",,38677-66-6,Decreased,0.057- 2.50,,0.25 - 0.36,CPD-20402,[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0005065,odecrn,FDB023614,46907933
Systemic Carnitine Deficiency,SCD,Inherited metabolic disorder,"Decreased free and total carnitine, increased urinary dicarboxylic fatty acids","Systemic carnitine deficiency, muscle carnitine deficiency. High-affinity carnitine transporter expressed in muscle, heart, kidney, lymphoblasts, and fibroblasts. The defect is expressed as impaired fatty acid oxidation in skeletal and heart muscle. Stanley et al. (1991) -defect appeared to be expressed also in muscle and kidney.-OMIM:212140. Myopathic carnitine deficiency (OMIM:212160) is restricted to skeletal muscle","Nervous system, heart, muscle, liver",84651,"Human Metabolome Database (HMDB): Oleoylcarnitine is a long-chain acylcarnitine that accumulates during certain metabolic conditions, such as fasting (PMID: 15653102).",Oleoylcarnitine,odecrn,IPOLTUVFXFHAHI-QHCPKHFHSA-N,"InChI=1S/C25H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h12-13,23H,5-11,14-22H2,1-4H3/t23-/m0/s1",,38677-66-6,Decreased,0.057- 2.50,,0.23 - 0.56,CPD-20402,[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0005065,odecrn,FDB023614,46907933
Carnitine Palmitoyltransferase 1 Deficiency,CPT1,Inherited metabolic disorder,"Free carnitine/total carnitine is elevated, palmitoylcarnitine/free carnitine, C0/(C16+C18)","Hepatic encephalopathy, adult-onset myopathy, acute fatty liver of pregnancy. Kidney (Renal tubular acidosis), both proximal and distal.","Liver, nervous system, muscle, skeletal system",,,O-Octadecanoyl-R-Carnitine,stcrn,FNPHNLNTJNMAEE-UHFFFAOYSA-N,"InChI=1S/C25H49NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h23H,5-22H2,1-4H3",,,Decreased,0.33 - 1.70,,0.06 - 0.45,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,stcrn,,6426855
Glutaric Acidemia Type I,GA1,Inherited metabolic disorder,"Increased C5DC in blood, in urine-increased C4OH, C5DC etc.","Strauss et al. (2003) reported nonketosis GA-I give rise to myopathy, cardiomyopathy, and Reye-like hepatocerebral crisis.",Nervous system,,,O-Octadecanoyl-R-Carnitine,stcrn,FNPHNLNTJNMAEE-UHFFFAOYSA-N,"InChI=1S/C25H49NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h23H,5-22H2,1-4H3",,,Decreased,0.33 - 1.70,,0.17 - 0.30,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,stcrn,,6426855
Carnitine Acylcarnitine Translocase Deficiency,CACT,Inherited metabolic disorder,Elevated C-16 and C-18:1,"Neonatal onset and milder form with some residual CACT activity. Morris et al. (1998) reported steatosis of renal tubules in a Pakistani family. Huizing et al. (1998) found high level of CACT mRNA transcripts in in heart, skeletal muscle, and liver, and much lower levels in brain, placenta, kidney, pancreas, and especially in lung.","Liver, muscle, heart",,,O-Octadecanoyl-R-Carnitine,stcrn,FNPHNLNTJNMAEE-UHFFFAOYSA-N,"InChI=1S/C25H49NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h23H,5-22H2,1-4H3",,,Increased,0.33 - 1.70,,1.45- 8.20,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,stcrn,,6426855
Carnitine Palmitoyltransferase 2 Deficiency,CPT2,Inherited metabolic disorder,Elevated C-16 and C-18:1 along with urinary examination.,"Lethal neonatal form, Severe infantile hepatocardiomuscular form, myopathic form. In infantile form-reduced enzyme activity in fibroblasts, lymphoblasts, and skeletal muscle-OMIM:600649, in lethal neonatal form- Postmortem examination showed diffuse lipid accumulation in the liver, heart, kidney, adrenal cortex, skeletal muscle, and lungs-OMIM:608836","Liver, heart, muscle, nervous system, kidney",,,O-Octadecanoyl-R-Carnitine,stcrn,FNPHNLNTJNMAEE-UHFFFAOYSA-N,"InChI=1S/C25H49NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h23H,5-22H2,1-4H3",,,Increased,0.33 - 1.70,,1.45- 8.20,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,stcrn,,6426855
Systemic Carnitine Deficiency,SCD,Inherited metabolic disorder,"Decreased free and total carnitine, increased urinary dicarboxylic fatty acids","Systemic carnitine deficiency, muscle carnitine deficiency. High-affinity carnitine transporter expressed in muscle, heart, kidney, lymphoblasts, and fibroblasts. The defect is expressed as impaired fatty acid oxidation in skeletal and heart muscle. Stanley et al. (1991) -defect appeared to be expressed also in muscle and kidney.-OMIM:212140. Myopathic carnitine deficiency (OMIM:212160) is restricted to skeletal muscle","Nervous system, heart, muscle, liver",,,O-Octadecanoyl-R-Carnitine,stcrn,FNPHNLNTJNMAEE-UHFFFAOYSA-N,"InChI=1S/C25H49NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h23H,5-22H2,1-4H3",,,Decreased,0.33 - 1.70,,0.15 - 0.47,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,stcrn,,6426855
Long-Chain-3-Hydroxyacyl-Coa Dehydrogenase Deficiency (LCHAD),LCHAD,Inherited metabolic disorder,"In plasma-decreased activity of 3-hydroxybutyric acid, increased long chain acyl carnitines. In urine-3-hydroxyadipic acid, 3-hydroxysebacic acid, 3-hydroxysuberic acid, dicarboxylic acids.","Three clinical phenotypes were apparent: 1) severe neonatal presentation with cardiomyopathy, 2) hepatic form with recurrent hypoketotic hypoglycemia, 3) milder, later-onset neuromyopathic phenotype with episodic myoglobinuria.","Heart,  muscle,  respiratory system",,,3-Hydroxyoctadecadienoylcarnitine,3octdec2crn,WQYXCASYXUFNSI-UHFFFAOYSA-N,"InChI=1S/C25H45NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22(27)19-25(30)31-23(20-24(28)29)21-26(2,3)4/h9-10,12-13,22-23,27H,5-8,11,14-21H2,1-4H3",,,Increased,0.02-0.07,"550, 869",0.05-0.275,,[H]OC([H])(C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,3octdec2crn,,
Trifunctional Protein Deficiency,TFPD,Inherited metabolic disorder,"In urine-increased levels of 3-hydroxydicarboxylic acid, 3-hydroxysuberic acid, dicarboxylic acids. Decreased activity of the enzyme in fibroblast.",Clinically distinguished into 2 forms- 1) infancy and 2) early childhood forms. (http://ghr.nlm.nih.gov/condition/long-chain-3-hydroxyacyl-coenzyme-a-dehydrogenase-deficiency),"Muscle, liver, eye, nervous system",,,3-Hydroxyoctadecadienoylcarnitine,3octdec2crn,WQYXCASYXUFNSI-UHFFFAOYSA-N,"InChI=1S/C25H45NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22(27)19-25(30)31-23(20-24(28)29)21-26(2,3)4/h9-10,12-13,22-23,27H,5-8,11,14-21H2,1-4H3",,,Increased,0.02-0.07,,0.05-0.275,,[H]OC([H])(C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,3octdec2crn,,
Long-Chain-3-Hydroxyacyl-Coa Dehydrogenase Deficiency (LCHAD),LCHAD,Inherited metabolic disorder,"In plasma-decreased activity of 3-hydroxybutyric acid, increased long chain acyl carnitines. In urine-3-hydroxyadipic acid, 3-hydroxysebacic acid, 3-hydroxysuberic acid, dicarboxylic acids.","Three clinical phenotypes were apparent: 1) severe neonatal presentation with cardiomyopathy, 2) hepatic form with recurrent hypoketotic hypoglycemia, 3) milder, later-onset neuromyopathic phenotype with episodic myoglobinuria.","Heart,  muscle,  respiratory system",,"Human Metabolome Database (HMDB): 3-hydroxy-11z-octadecenoylcarnitine, also known as Acylcarnitine 18:1, is classified as a beta hydroxy acid or a Beta hydroxy acid derivative. Beta hydroxy acids are compounds containing a carboxylic acid substituted with a hydroxyl group on the C3 carbon atom. 3-hydroxy-11z-octadecenoylcarnitine is considered to be a practically insoluble (in water) and a weak acidic compound. 3-hydroxy-11z-octadecenoylcarnitine can be found in blood.",3-Hydroxy-11Z-octadecenoylcarnitine,3octdece1crn,DGNPJQDFCXFOEZ-OEPBMOORSA-N,"InChI=1S/C25H47NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22(27)21-25(30)31-23(26(2,3)4)19-20-24(28)29/h10-11,22-23,27H,5-9,12-21H2,1-4H3/b11-10-/t22?,23-/m0/s1",,,Increased,0.01 - 0.05,"327, 550, 869",0.155 - 1.45,,[H]OC([H])(C([H])([H])C(=O)O[C@@]([H])(C([H])([H])C([H])([H])C([O-])=O)[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],HMDB0013339,3octdece1crn,FDB021866,53481697
Trifunctional Protein Deficiency,TFPD,Inherited metabolic disorder,"In urine-increased levels of 3-hydroxydicarboxylic acid, 3-hydroxysuberic acid, dicarboxylic acids. Decreased activity of the enzyme in fibroblast.",Clinically distinguished into 2 forms- 1) infancy and 2) early childhood forms. (http://ghr.nlm.nih.gov/condition/long-chain-3-hydroxyacyl-coenzyme-a-dehydrogenase-deficiency),"Muscle, liver, eye, nervous system",,"Human Metabolome Database (HMDB): 3-hydroxy-11z-octadecenoylcarnitine, also known as Acylcarnitine 18:1, is classified as a beta hydroxy acid or a Beta hydroxy acid derivative. Beta hydroxy acids are compounds containing a carboxylic acid substituted with a hydroxyl group on the C3 carbon atom. 3-hydroxy-11z-octadecenoylcarnitine is considered to be a practically insoluble (in water) and a weak acidic compound. 3-hydroxy-11z-octadecenoylcarnitine can be found in blood.",3-Hydroxy-11Z-octadecenoylcarnitine,3octdece1crn,DGNPJQDFCXFOEZ-OEPBMOORSA-N,"InChI=1S/C25H47NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22(27)21-25(30)31-23(26(2,3)4)19-20-24(28)29/h10-11,22-23,27H,5-9,12-21H2,1-4H3/b11-10-/t22?,23-/m0/s1",,,Increased,0.01 - 0.05,328,0.155 - 1.45,,[H]OC([H])(C([H])([H])C(=O)O[C@@]([H])(C([H])([H])C([H])([H])C([O-])=O)[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],HMDB0013339,3octdece1crn,FDB021866,53481697
Long-Chain-3-Hydroxyacyl-Coa Dehydrogenase Deficiency (LCHAD),LCHAD,Inherited metabolic disorder,"In plasma-decreased activity of 3-hydroxybutyric acid, increased long chain acyl carnitines. In urine-3-hydroxyadipic acid, 3-hydroxysebacic acid, 3-hydroxysuberic acid, dicarboxylic acids.","Three clinical phenotypes were apparent: 1) severe neonatal presentation with cardiomyopathy, 2) hepatic form with recurrent hypoketotic hypoglycemia, 3) milder, later-onset neuromyopathic phenotype with episodic myoglobinuria.","Heart,  muscle,  respiratory system",,,3-Hydroxyoctadecanoyl Carnitine,3octdeccrn,PWZJXSPDNGIODC-UHFFFAOYSA-N,"InChI=1S/C25H49NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22(27)19-25(30)31-23(20-24(28)29)21-26(2,3)4/h22-23,27H,5-21H2,1-4H3",,,Increased,0.00 - 0.04,"550, 869",0.13 - 1.45,,[H]OC([H])(C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,3octdeccrn,,
Trifunctional Protein Deficiency,TFPD,Inherited metabolic disorder,"In urine-increased levels of 3-hydroxydicarboxylic acid, 3-hydroxysuberic acid, dicarboxylic acids. Decreased activity of the enzyme in fibroblast.",Clinically distinguished into 2 forms- 1) infancy and 2) early childhood forms. (http://ghr.nlm.nih.gov/condition/long-chain-3-hydroxyacyl-coenzyme-a-dehydrogenase-deficiency),"Muscle, liver, eye, nervous system",,,3-Hydroxyoctadecanoyl Carnitine,3octdeccrn,PWZJXSPDNGIODC-UHFFFAOYSA-N,"InChI=1S/C25H49NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22(27)19-25(30)31-23(20-24(28)29)21-26(2,3)4/h22-23,27H,5-21H2,1-4H3",,,Increased,0.00 - 0.04,,0.13 - 1.45,,[H]OC([H])(C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,3octdeccrn,,
Beta-Ketothiolase Deficiency,BKT,Inherited metabolic disorder,"In blood-increased C5:1, C5OH. In urine-hydroxybutyric acid, tiglyl glycine etc.",Severe metabolic acidosis is the hallmark,Nervous system,84842,,3-Hydroxy Butyryl Carnitine,3bcrn,UEFRDQSMQXDWTO-UHFFFAOYSA-N,"InChI=1S/C11H21NO5/c1-8(13)5-11(16)17-9(6-10(14)15)7-12(2,3)4/h8-9,13H,5-7H2,1-4H3",,,Increased,0.05 - 0.47,,0.57 - 2.85,,[H]OC([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0062735,3bcrn,,90659885
Long-Chain-3-Hydroxyacyl-Coa Dehydrogenase Deficiency (LCHAD),LCHAD,Inherited metabolic disorder,"In plasma-decreased activity of 3-hydroxybutyric acid, increased long chain acyl carnitines. In urine-3-hydroxyadipic acid, 3-hydroxysebacic acid, 3-hydroxysuberic acid, dicarboxylic acids.","Three clinical phenotypes were apparent: 1) severe neonatal presentation with cardiomyopathy, 2) hepatic form with recurrent hypoketotic hypoglycemia, 3) milder, later-onset neuromyopathic phenotype with episodic myoglobinuria.","Heart,  muscle,  respiratory system",84842,,3-Hydroxy Butyryl Carnitine,3bcrn,UEFRDQSMQXDWTO-UHFFFAOYSA-N,"InChI=1S/C11H21NO5/c1-8(13)5-11(16)17-9(6-10(14)15)7-12(2,3)4/h8-9,13H,5-7H2,1-4H3",,,Increased,0.05 - 0.47,,0.90 - 2.20,,[H]OC([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0062735,3bcrn,,90659885
